id,currency,commentary_text,analysis_date,trade_count,total_dv01,structures_summary,created_at
1,USD,"^^USD SDR deals today^^

^^USD Outrights^^
U5 - 10Y traded 1k DV01
U5 - 30Y traded 3k DV01",2025-07-09,3,3452.37,{'Outright': 3},2025-07-09T10:43:52.701580
2,EUR,"^^EUR SDR deals today^^

^^EUR Outrights^^
1Y - 1Y traded 1k DV01
Spot - 5Y traded 2k DV01 (Rate range: 0.0230)
H6 - 8Y traded 1k DV01
2025-09-10 - 9Y traded 4k DV01 (Rate range: 0.0245)
H6 - 9Y traded 1k DV01
Spot - 10Y traded 3k DV01 (Rate range: 0.0000–0.0264)
Z5 - 10Y traded 1k DV01
2040-01-16 - 5Y traded 2k DV01
H0 - 5Y traded 2k DV01
H6 - 20Y traded 1k DV01
H6 - 25Y traded 1k DV01

^^EUR Spreads^^

^^20Y vs 25Y^^

^^25Y vs 30Y^^

^^30Y vs 9Y^^

^^EUR Butterflies^^

^^8Y vs 20Y vs 25Y^^

^^8Y vs 9Y vs 25Y^^",2025-07-09,52,21203.870000000003,"{'Outright': 47, 'Butterfly': 2, 'Spread': 3}",2025-07-09T10:43:52.708397
3,GBP,"^^GBP SDR deals today^^

^^GBP Outrights^^
6M - 0Y traded 2k DV01 (Rate range: 0.0370–0.0370)
9M - 0Y traded 2k DV01 (Rate range: 0.0347–0.0347)
U5 - 2Y traded 1k DV01
U5 - 5Y traded 1k DV01
Spot - 10Y traded 1k DV01 (Rate range: 0.0410)
U5 - 10Y traded 3k DV01
Z5 - 10Y traded 1k DV01
U5 - 20Y traded 2k DV01
Spot - 29Y traded 3k DV01 (Rate range: 0.0458)",2025-07-09,18,15788.790000000005,{'Outright': 18},2025-07-09T10:43:52.713999
4,JPY,"^^JPY SDR deals today^^

^^JPY Outrights^^
2025-10-31 - 0Y traded 20k DV01 (Rate range: 0.0055)
Spot - 2Y traded 59k DV01 (Rate range: 0.0074)
Spot - 5Y traded 144k DV01 (Rate range: 0.0096)",2025-07-09,7,170370.90000000002,"{'Outright': 6, 'Unwind': 1}",2025-07-09T10:43:52.714772
